suggestion_id;category;name;size;sweetness_pct;ice_pct;temperature;toppings;dairy;price_vnd;calories_kcal;caffeine_level;vegan;lactose_free;time_of_day;weather_tag;mood_tag;season;tags;rating_pred;created_at;description_vn
11;Sữa chua;Sữa chua xoài;S;70;100;Lạnh;;Sữa đậu nành;30000;267;Thấp;TRUE;TRUE;Trưa;Mưa;Năng lượng;Đông;trái_cây;4.89;10/11/2025 12:26;Sữa chua xoài, size S, 70% đường, 100% đá. Phù hợp mưa • Năng lượng.
12;Soda;Soda kiwi;M;100;70;Lạnh;;Sữa tươi;31000;210;Thấp;FALSE;FALSE;Sáng;Se lạnh;Tập trung;Hạ;trái_cây;4.28;10/11/2025 12:26;Soda kiwi, size M, 100% đường, 70% đá. Phù hợp se lạnh • Tập trung.
13;Trà sữa;Hồng trà kem cheese;S;50;0;Lạnh;;Sữa hạnh nhân;38000;292;Thấp;TRUE;TRUE;Trưa;Bình thường;Thư giãn;Đông;kem_cheese;4.61;10/11/2025 12:26;Hồng trà kem cheese, size S, 50% đường, 0% đá. Phù hợp bình thường • Thư giãn.
14;Trà trái cây;Trà nhãn sen;M;70;70;Lạnh;Trân châu sợi;Không sữa;30000;149;Thấp;TRUE;TRUE;Tối;Se lạnh;Tập trung;Hạ;trái_cây;3.69;10/11/2025 12:26;Trà nhãn sen, size M, 70% đường, 70% đá. Phù hợp se lạnh • Tập trung.
15;Sữa chua;Sữa chua nha đam;S;30;50;Nóng;;Không sữa;27000;202;Thấp;TRUE;TRUE;Tối;Nắng nóng;Tập trung;Xuân;;4.85;10/11/2025 12:26;Sữa chua nha đam, size S, 30% đường, 50% đá. Phù hợp nắng nóng • Tập trung.
16;Trà trái cây;Trà chanh dây;M;70;0;Lạnh;;Sữa đậu nành;30000;145;Trung bình;TRUE;TRUE;Tối;Se lạnh;Giải khát;Đông;trái_cây;3.63;10/11/2025 12:26;Trà chanh dây, size M, 70% đường, 0% đá. Phù hợp se lạnh • Giải khát.
17;Cà phê;Cà phê muối;L;100;100;Lạnh;Trân châu đen, Thạch phô mai;Sữa yến mạch;44000;140;Cao;FALSE;FALSE;Tối;Mưa;Tập trung;Xuân;cafein_cao;4.68;10/11/2025 12:26;Cà phê muối, size L, 100% đường, 100% đá. Phù hợp mưa • Tập trung.
18;Trà sữa;Trà sữa cam sả phô mai;M;100;30;Lạnh;Kem cheese;Sữa đậu nành;46000;403;Trung bình;FALSE;FALSE;Chiều;Mưa;Năng lượng;Hạ;trái_cây;3.8;10/11/2025 12:26;Trà sữa cam sả phô mai, size M, 100% đường, 30% đá. Phù hợp mưa • Năng lượng.
19;Trà trái cây;Trà dưa lưới tươi;S;100;100;Lạnh;;Sữa tươi;25000;180;Trung bình;FALSE;FALSE;Trưa;Se lạnh;Tập trung;Hạ;trái_cây;3.95;10/11/2025 12:26;Trà dưa lưới tươi, size S, 100% đường, 100% đá. Phù hợp se lạnh • Tập trung.
20;Trà trái cây;Trà táo;L;100;100;Lạnh;Dừa khô;Sữa yến mạch;38000;186;Thấp;TRUE;TRUE;Trưa;Se lạnh;Tập trung;Xuân;trái_cây;4.51;10/11/2025 12:26;Trà táo, size L, 100% đường, 100% đá. Phù hợp se lạnh • Tập trung.
21;Trà trái cây;Trà cam bưởi;S;50;30;Nóng;Thạch nha đam;Không sữa;25000;138;Thấp;TRUE;TRUE;Tối;Se lạnh;Tập trung;Xuân;trái_cây;3.9;10/11/2025 12:26;Trà cam bưởi, size S, 50% đường, 30% đá. Phù hợp se lạnh • Tập trung.
22;Trà trái cây;Trà xoài lạnh;M;70;100;Lạnh;;Sữa tươi;30000;162;Thấp;FALSE;FALSE;Chiều;Mưa;Giải khát;Hạ;trái_cây;3.46;10/11/2025 12:26;Trà xoài lạnh, size M, 70% đường, 100% đá. Phù hợp mưa • Giải khát.
23;Cà phê;Cà phê trứng;L;0;50;Lạnh;Trân châu sợi;Sữa tươi;41000;92;Cao;FALSE;FALSE;Chiều;Bình thường;Thư giãn;Hạ;cafein_cao;4.7;10/11/2025 12:26;Cà phê trứng, size L, 0% đường, 50% đá. Phù hợp bình thường • Thư giãn.
24;Trà trái cây;Trà đào lạnh;L;70;30;Nóng;;Không sữa;32000;129;Trung bình;TRUE;TRUE;Sáng;Bình thường;Thư giãn;Hạ;trái_cây;4.62;10/11/2025 12:26;Trà đào lạnh, size L, 70% đường, 30% đá. Phù hợp bình thường • Thư giãn.
25;Đá xay;Cookies đá xay;M;30;30;Lạnh;;Sữa tươi;45000;368;Thấp;FALSE;FALSE;Tối;Se lạnh;Năng lượng;Xuân;;4.85;10/11/2025 12:26;Cookies đá xay, size M, 30% đường, 30% đá. Phù hợp se lạnh • Năng lượng.
26;Cà phê;Americano;M;70;100;Nóng;Trân châu hoàng kim, Thạch nha đam;Không sữa;36000;14;Cao;TRUE;TRUE;Chiều;Nắng nóng;Tập trung;Đông;cafein_cao;3.92;10/11/2025 12:26;Americano, size M, 70% đường, 100% đá. Phù hợp nắng nóng • Tập trung.
27;Cà phê;Cappuccino;M;100;0;Nóng;Thạch đào, Thạch nha đam;Sữa tươi;39000;156;Cao;FALSE;FALSE;Tối;Nắng nóng;Thư giãn;Thu;cafein_cao;4.05;10/11/2025 12:26;Cappuccino, size M, 100% đường, 0% đá. Phù hợp nắng nóng • Thư giãn.
28;Soda;Soda kiwi;M;0;50;Lạnh;Trân châu sợi;Sữa đậu nành;34000;144;Thấp;TRUE;TRUE;Chiều;Bình thường;Năng lượng;Hạ;trái_cây;3.69;10/11/2025 12:26;Soda kiwi, size M, 0% đường, 50% đá. Phù hợp bình thường • Năng lượng.
29;Soda;Soda chanh;L;30;100;Lạnh;Kem cheese;Không sữa;42000;148;Thấp;FALSE;FALSE;Chiều;Se lạnh;Thư giãn;Đông;trái_cây;4.58;10/11/2025 12:26;Soda chanh, size L, 30% đường, 100% đá. Phù hợp se lạnh • Thư giãn.
30;Sữa chua;Sữa chua dâu;M;70;30;Nóng;Thạch phô mai, Pudding trứng;Không sữa;38000;308;Thấp;FALSE;FALSE;Chiều;Se lạnh;Tập trung;Hạ;trái_cây;4.41;10/11/2025 12:26;Sữa chua dâu, size M, 70% đường, 30% đá. Phù hợp se lạnh • Tập trung.
31;Trà trái cây;Trà dâu tươi;L;100;0;Nóng;Trân châu sợi;Sữa tươi;38000;206;Trung bình;FALSE;FALSE;Tối;Bình thường;Thư giãn;Hạ;trái_cây;4.38;10/11/2025 12:26;Trà dâu tươi, size L, 100% đường, 0% đá. Phù hợp bình thường • Thư giãn.
32;Trà sữa;Hồng trà kem cheese;L;100;70;Lạnh;Trân châu hoàng kim;Sữa hạnh nhân;51000;403;Thấp;TRUE;TRUE;Tối;Se lạnh;Giải khát;Đông;kem_cheese;4.65;10/11/2025 12:26;Hồng trà kem cheese, size L, 100% đường, 70% đá. Phù hợp se lạnh • Giải khát.
33;Sữa chua;Sữa chua nha đam;L;70;70;Nóng;Trân châu sợi, Thạch nha đam;Sữa đậu nành;46000;347;Thấp;TRUE;TRUE;Trưa;Se lạnh;Giải khát;Xuân;;4.47;10/11/2025 12:26;Sữa chua nha đam, size L, 70% đường, 70% đá. Phù hợp se lạnh • Giải khát.
34;Trà trái cây;Trà cam mật ong;L;0;30;Lạnh;;Sữa tươi;35000;120;Thấp;FALSE;FALSE;Sáng;Bình thường;Giải khát;Thu;trái_cây;4.21;10/11/2025 12:26;Trà cam mật ong, size L, 0% đường, 30% đá. Phù hợp bình thường • Giải khát.
35;Đá xay;Matcha đá xay;S;70;70;Lạnh;Bánh flan, Trân châu đen;Sữa đậu nành;46000;505;Trung bình;FALSE;FALSE;Tối;Nắng nóng;Năng lượng;Thu;matcha;4.53;10/11/2025 12:26;Matcha đá xay, size S, 70% đường, 70% đá. Phù hợp nắng nóng • Năng lượng.
36;Đá xay;Oreo đá xay;L;100;100;Lạnh;Hạnh nhân lát, Thạch đào;Sữa yến mạch;56000;561;Thấp;TRUE;TRUE;Tối;Bình thường;Tập trung;Đông;;3.9;10/11/2025 12:26;Oreo đá xay, size L, 100% đường, 100% đá. Phù hợp bình thường • Tập trung.
37;Soda;Soda chanh;L;70;30;Lạnh;Dừa khô, Trân châu đen;Sữa đậu nành;42000;221;Thấp;TRUE;TRUE;Sáng;Nắng nóng;Giải khát;Hạ;trái_cây;4.7;10/11/2025 12:26;Soda chanh, size L, 70% đường, 30% đá. Phù hợp nắng nóng • Giải khát.
38;Trà trái cây;Trà nhãn sen;M;70;50;Nóng;Kem cheese, Thạch nha đam;Sữa đậu nành;42000;189;Trung bình;FALSE;FALSE;Sáng;Bình thường;Tập trung;Xuân;trái_cây;4.9;10/11/2025 12:26;Trà nhãn sen, size M, 70% đường, 50% đá. Phù hợp bình thường • Tập trung.
39;Cà phê;Cà phê muối;M;0;0;Lạnh;;Sữa tươi;33000;80;Cao;FALSE;FALSE;Trưa;Mưa;Thư giãn;Đông;cafein_cao;4.4;10/11/2025 12:26;Cà phê muối, size M, 0% đường, 0% đá. Phù hợp mưa • Thư giãn.
40;Sữa chua;Sữa chua xoài;M;50;50;Lạnh;Thạch phô mai;Không sữa;35000;252;Thấp;FALSE;FALSE;Trưa;Se lạnh;Tập trung;Xuân;trái_cây;4.79;10/11/2025 12:26;Sữa chua xoài, size M, 50% đường, 50% đá. Phù hợp se lạnh • Tập trung.
41;Sữa chua;Sữa chua nha đam;M;30;0;Lạnh;;Sữa yến mạch;35000;227;Thấp;TRUE;TRUE;Sáng;Nắng nóng;Năng lượng;Đông;;4.39;10/11/2025 12:26;Sữa chua nha đam, size M, 30% đường, 0% đá. Phù hợp nắng nóng • Năng lượng.
42;Trà sữa;Trà sữa thanh long;L;0;70;Nóng;Hạnh nhân lát;Sữa đậu nành;45000;269;Thấp;TRUE;TRUE;Tối;Mưa;Năng lượng;Đông;trái_cây;4.1;10/11/2025 12:26;Trà sữa thanh long, size L, 0% đường, 70% đá. Phù hợp mưa • Năng lượng.
43;Soda;Soda cam;M;30;0;Lạnh;;Sữa đậu nành;31000;144;Thấp;TRUE;TRUE;Trưa;Bình thường;Giải khát;Thu;trái_cây;3.44;10/11/2025 12:26;Soda cam, size M, 30% đường, 0% đá. Phù hợp bình thường • Giải khát.
44;Cà phê;Bạc xỉu;M;50;50;Nóng;;Sữa yến mạch;33000;90;Cao;TRUE;TRUE;Chiều;Nắng nóng;Thư giãn;Xuân;cafein_cao;3.76;10/11/2025 12:26;Bạc xỉu, size M, 50% đường, 50% đá. Phù hợp nắng nóng • Thư giãn.
45;Đá xay;Cà phê dừa đá xay;M;30;70;Lạnh;Hạnh nhân lát;Sữa đậu nành;48000;380;Thấp;TRUE;TRUE;Sáng;Nắng nóng;Năng lượng;Hạ;;4.01;10/11/2025 12:26;Cà phê dừa đá xay, size M, 30% đường, 70% đá. Phù hợp nắng nóng • Năng lượng.
46;Trà trái cây;Trà cam bưởi;M;100;100;Nóng;Thạch phô mai;Sữa yến mạch;33000;186;Trung bình;FALSE;FALSE;Tối;Se lạnh;Năng lượng;Thu;trái_cây;3.75;10/11/2025 12:26;Trà cam bưởi, size M, 100% đường, 100% đá. Phù hợp se lạnh • Năng lượng.
47;Soda;Soda dâu;M;100;30;Lạnh;;Sữa đậu nành;31000;189;Thấp;TRUE;TRUE;Chiều;Se lạnh;Tập trung;Hạ;trái_cây;3.84;10/11/2025 12:26;Soda dâu, size M, 100% đường, 30% đá. Phù hợp se lạnh • Tập trung.
48;Cà phê;Bạc xỉu;M;100;30;Nóng;;Sữa tươi;33000;120;Cao;FALSE;FALSE;Chiều;Mưa;Giải khát;Xuân;cafein_cao;4.71;10/11/2025 12:26;Bạc xỉu, size M, 100% đường, 30% đá. Phù hợp mưa • Giải khát.
49;Sữa chua;Sữa chua dâu;M;70;50;Lạnh;Thạch nha đam, Hạnh nhân lát;Không sữa;38000;308;Thấp;TRUE;TRUE;Sáng;Bình thường;Giải khát;Xuân;trái_cây;4.27;10/11/2025 12:26;Sữa chua dâu, size M, 70% đường, 50% đá. Phù hợp bình thường • Giải khát.
50;Soda;Soda việt quất;S;100;50;Lạnh;;Sữa tươi;26000;210;Thấp;FALSE;FALSE;Sáng;Bình thường;Thư giãn;Đông;;4.08;10/11/2025 12:26;Soda việt quất, size S, 100% đường, 50% đá. Phù hợp bình thường • Thư giãn.
51;Đá xay;Cookies đá xay;L;70;50;Lạnh;Trân châu đen;Không sữa;50000;397;Thấp;TRUE;TRUE;Trưa;Mưa;Năng lượng;Xuân;;3.64;10/11/2025 12:26;Cookies đá xay, size L, 70% đường, 50% đá. Phù hợp mưa • Năng lượng.
52;Trà trái cây;Trà táo lạnh;L;70;50;Lạnh;;Sữa yến mạch;35000;145;Trung bình;TRUE;TRUE;Sáng;Mưa;Năng lượng;Hạ;trái_cây;4.04;10/11/2025 12:26;Trà táo lạnh, size L, 70% đường, 50% đá. Phù hợp mưa • Năng lượng.
53;Sữa chua;Sữa chua xoài;M;50;30;Lạnh;;Sữa yến mạch;35000;247;Thấp;TRUE;TRUE;Chiều;Bình thường;Tập trung;Đông;trái_cây;4.43;10/11/2025 12:26;Sữa chua xoài, size M, 50% đường, 30% đá. Phù hợp bình thường • Tập trung.
54;Soda;Soda chanh;L;100;100;Lạnh;Trân châu hoàng kim;Không sữa;36000;193;Thấp;TRUE;TRUE;Tối;Se lạnh;Năng lượng;Xuân;trái_cây;3.54;10/11/2025 12:26;Soda chanh, size L, 100% đường, 100% đá. Phù hợp se lạnh • Năng lượng.
55;Soda;Soda cam;M;0;50;Lạnh;Pudding trứng;Sữa đậu nành;34000;144;Thấp;FALSE;TRUE;Tối;Se lạnh;Thư giãn;Đông;trái_cây;4.35;10/11/2025 12:26;Soda cam, size M, 0% đường, 50% đá. Phù hợp se lạnh • Thư giãn.
56;Đá xay;Matcha đá xay;M;70;50;Lạnh;;Không sữa;42000;345;Trung bình;TRUE;TRUE;Trưa;Se lạnh;Giải khát;Đông;matcha;3.83;10/11/2025 12:26;Matcha đá xay, size M, 70% đường, 50% đá. Phù hợp se lạnh • Giải khát.
57;Đá xay;Xoài đá xay;L;0;70;Lạnh;;Sữa yến mạch;50000;288;Thấp;TRUE;TRUE;Chiều;Nắng nóng;Giải khát;Xuân;trái_cây;4.39;10/11/2025 12:26;Xoài đá xay, size L, 0% đường, 70% đá. Phù hợp nắng nóng • Giải khát.
58;Sữa chua;Sữa chua nha đam;M;30;100;Nóng;Hạnh nhân lát;Sữa đậu nành;38000;261;Thấp;TRUE;TRUE;Sáng;Mưa;Năng lượng;Hạ;;4.79;10/11/2025 12:26;Sữa chua nha đam, size M, 30% đường, 100% đá. Phù hợp mưa • Năng lượng.
59;Đá xay;Dâu đá xay;M;0;100;Lạnh;Thạch phô mai, Pudding trứng;Sữa yến mạch;51000;374;Thấp;FALSE;FALSE;Sáng;Bình thường;Tập trung;Hạ;trái_cây;4.89;10/11/2025 12:26;Dâu đá xay, size M, 0% đường, 100% đá. Phù hợp bình thường • Tập trung.
60;Trà sữa;Trà sữa chanh dây phô mai;M;50;100;Nóng;Hạnh nhân lát;Sữa hạnh nhân;40000;336;Thấp;TRUE;TRUE;Tối;Mưa;Giải khát;Hạ;trái_cây;4.78;10/11/2025 12:26;Trà sữa chanh dây phô mai, size M, 50% đường, 100% đá. Phù hợp mưa • Giải khát.
61;Sữa chua;Sữa chua xoài;L;50;70;Nóng;Dừa khô, Thạch nha đam;Không sữa;43000;286;Thấp;TRUE;TRUE;Chiều;Se lạnh;Giải khát;Hạ;trái_cây;4.07;10/11/2025 12:26;Sữa chua xoài, size L, 50% đường, 70% đá. Phù hợp se lạnh • Giải khát.
62;Đá xay;Cookies đá xay;M;100;70;Lạnh;Sương sáo;Sữa tươi;48000;552;Thấp;FALSE;FALSE;Trưa;Bình thường;Thư giãn;Đông;;3.47;10/11/2025 12:26;Cookies đá xay, size M, 100% đường, 70% đá. Phù hợp bình thường • Thư giãn.
63;Soda;Soda chanh;L;70;70;Lạnh;Trân châu sợi, Pudding trứng;Sữa đậu nành;42000;221;Thấp;FALSE;TRUE;Sáng;Mưa;Năng lượng;Xuân;trái_cây;4.71;10/11/2025 12:26;Soda chanh, size L, 70% đường, 70% đá. Phù hợp mưa • Năng lượng.
64;Đá xay;Matcha đá xay;M;70;0;Lạnh;Kem cheese, Trân châu sợi;Sữa tươi;57000;561;Trung bình;FALSE;FALSE;Sáng;Bình thường;Năng lượng;Thu;matcha;4.33;10/11/2025 12:26;Matcha đá xay, size M, 70% đường, 0% đá. Phù hợp bình thường • Năng lượng.
65;Đá xay;Dâu đá xay;S;50;100;Lạnh;;Sữa yến mạch;40000;360;Thấp;TRUE;TRUE;Tối;Nắng nóng;Tập trung;Hạ;trái_cây;4.35;10/11/2025 12:26;Dâu đá xay, size S, 50% đường, 100% đá. Phù hợp nắng nóng • Tập trung.
66;Cà phê;Cà phê muối;L;70;0;Lạnh;Thạch phô mai;Sữa không lactose;41000;124;Cao;FALSE;FALSE;Sáng;Nắng nóng;Năng lượng;Xuân;cafein_cao;3.84;10/11/2025 12:26;Cà phê muối, size L, 70% đường, 0% đá. Phù hợp nắng nóng • Năng lượng.
67;Cà phê;Cappuccino;S;100;70;Lạnh;;Sữa tươi;28000;120;Cao;FALSE;FALSE;Tối;Mưa;Giải khát;Hạ;cafein_cao;3.75;10/11/2025 12:26;Cappuccino, size S, 100% đường, 70% đá. Phù hợp mưa • Giải khát.
68;Soda;Soda kiwi;M;0;70;Lạnh;Trân châu sợi, Dừa khô;Sữa tươi;37000;182;Thấp;FALSE;FALSE;Sáng;Bình thường;Năng lượng;Thu;trái_cây;4.36;10/11/2025 12:26;Soda kiwi, size M, 0% đường, 70% đá. Phù hợp bình thường • Năng lượng.
69;Đá xay;Dâu đá xay;M;50;30;Lạnh;Hạnh nhân lát, Trân châu hoàng kim;Sữa tươi;51000;520;Thấp;FALSE;FALSE;Tối;Se lạnh;Năng lượng;Thu;trái_cây;3.43;10/11/2025 12:26;Dâu đá xay, size M, 50% đường, 30% đá. Phù hợp se lạnh • Năng lượng.
70;Soda;Soda chanh;M;100;0;Lạnh;Thạch phô mai, Hạnh nhân lát;Sữa yến mạch;37000;245;Thấp;FALSE;FALSE;Trưa;Se lạnh;Thư giãn;Hạ;trái_cây;4.33;10/11/2025 12:26;Soda chanh, size M, 100% đường, 0% đá. Phù hợp se lạnh • Thư giãn.
71;Soda;Soda táo;L;30;0;Lạnh;Trân châu sợi, Trân châu đen;Sữa yến mạch;42000;188;Thấp;TRUE;TRUE;Tối;Nắng nóng;Năng lượng;Hạ;trái_cây;3.54;10/11/2025 12:26;Soda táo, size L, 30% đường, 0% đá. Phù hợp nắng nóng • Năng lượng.
72;Cà phê;Americano;L;30;30;Lạnh;Sương sáo, Dừa khô;Sữa yến mạch;44000;13;Cao;TRUE;TRUE;Chiều;Mưa;Năng lượng;Đông;cafein_cao;4.85;10/11/2025 12:26;Americano, size L, 30% đường, 30% đá. Phù hợp mưa • Năng lượng.
73;Cà phê;Cà phê cốt dừa;L;0;70;Lạnh;;Không sữa;35000;64;Cao;TRUE;TRUE;Tối;Se lạnh;Tập trung;Đông;cafein_cao;3.42;10/11/2025 12:26;Cà phê cốt dừa, size L, 0% đường, 70% đá. Phù hợp se lạnh • Tập trung.
74;Sữa chua;Sữa chua việt quất;M;50;100;Nóng;Sương sáo, Trân châu hoàng kim;Sữa tươi;41000;357;Thấp;FALSE;FALSE;Tối;Nắng nóng;Năng lượng;Hạ;;4.37;10/11/2025 12:26;Sữa chua việt quất, size M, 50% đường, 100% đá. Phù hợp nắng nóng • Năng lượng.
75;Soda;Soda chanh;L;50;70;Lạnh;;Không sữa;33000;140;Thấp;TRUE;TRUE;Sáng;Se lạnh;Giải khát;Xuân;trái_cây;3.55;10/11/2025 12:26;Soda chanh, size L, 50% đường, 70% đá. Phù hợp se lạnh • Giải khát.
76;Sữa chua;Sữa chua xoài;M;50;100;Nóng;Thạch phô mai;Sữa tươi;38000;316;Thấp;FALSE;FALSE;Tối;Nắng nóng;Giải khát;Đông;trái_cây;4.81;10/11/2025 12:26;Sữa chua xoài, size M, 50% đường, 100% đá. Phù hợp nắng nóng • Giải khát.
77;Cà phê;Cà phê sữa đá;L;30;70;Nóng;Sương sáo, Trân châu hoàng kim;Sữa đậu nành;44000;107;Cao;TRUE;TRUE;Chiều;Se lạnh;Tập trung;Đông;cafein_cao;3.81;10/11/2025 12:26;Cà phê sữa đá, size L, 30% đường, 70% đá. Phù hợp se lạnh • Tập trung.
78;Trà sữa;Earl Grey kem cheese phô mai;M;0;0;Nóng;;Không sữa;40000;208;Thấp;TRUE;TRUE;Sáng;Mưa;Thư giãn;Hạ;kem_cheese;3.89;10/11/2025 12:26;Earl Grey kem cheese phô mai, size M, 0% đường, 0% đá. Phù hợp mưa • Thư giãn.
79;Trà trái cây;Trà đào tươi;L;100;50;Lạnh;;Không sữa;32000;144;Thấp;TRUE;TRUE;Sáng;Se lạnh;Thư giãn;Thu;trái_cây;3.42;10/11/2025 12:26;Trà đào tươi, size L, 100% đường, 50% đá. Phù hợp se lạnh • Thư giãn.
80;Cà phê;Cà phê sữa đá;S;70;100;Lạnh;Hạnh nhân lát, Thạch phô mai;Sữa không lactose;34000;140;Cao;FALSE;FALSE;Sáng;Bình thường;Thư giãn;Xuân;cafein_cao;4.49;10/11/2025 12:26;Cà phê sữa đá, size S, 70% đường, 100% đá. Phù hợp bình thường • Thư giãn.
81;Soda;Soda cam;M;0;0;Lạnh;Kem cheese, Thạch phô mai;Không sữa;40000;145;Thấp;FALSE;FALSE;Tối;Bình thường;Tập trung;Xuân;trái_cây;3.88;10/11/2025 12:26;Soda cam, size M, 0% đường, 0% đá. Phù hợp bình thường • Tập trung.
82;Trà trái cây;Trà tắc mật ong;M;100;100;Nóng;;Sữa yến mạch;30000;162;Trung bình;TRUE;TRUE;Tối;Nắng nóng;Tập trung;Hạ;trái_cây;4.05;10/11/2025 12:26;Trà tắc mật ong, size M, 100% đường, 100% đá. Phù hợp nắng nóng • Tập trung.
83;Trà trái cây;Trà chanh dây;M;0;50;Nóng;;Sữa yến mạch;30000;108;Trung bình;TRUE;TRUE;Trưa;Bình thường;Tập trung;Xuân;trái_cây;4.65;10/11/2025 12:26;Trà chanh dây, size M, 0% đường, 50% đá. Phù hợp bình thường • Tập trung.
84;Trà sữa;Trà sữa chanh dây phô mai;L;100;0;Nóng;Kem cheese;Sữa không lactose;51000;448;Trung bình;FALSE;FALSE;Sáng;Se lạnh;Năng lượng;Thu;trái_cây;3.56;10/11/2025 12:26;Trà sữa chanh dây phô mai, size L, 100% đường, 0% đá. Phù hợp se lạnh • Năng lượng.
85;Sữa chua;Sữa chua xoài;S;70;30;Lạnh;;Sữa yến mạch;30000;267;Thấp;TRUE;TRUE;Sáng;Se lạnh;Thư giãn;Đông;trái_cây;4.67;10/11/2025 12:26;Sữa chua xoài, size S, 70% đường, 30% đá. Phù hợp se lạnh • Thư giãn.
86;Sữa chua;Sữa chua thạch trái cây;L;100;0;Nóng;;Sữa yến mạch;40000;297;Thấp;TRUE;TRUE;Chiều;Se lạnh;Năng lượng;Xuân;;3.67;10/11/2025 12:26;Sữa chua thạch trái cây, size L, 100% đường, 0% đá. Phù hợp se lạnh • Năng lượng.
87;Trà trái cây;Trà bưởi;M;0;0;Lạnh;;Sữa đậu nành;30000;108;Trung bình;TRUE;TRUE;Trưa;Se lạnh;Năng lượng;Thu;trái_cây;4.57;10/11/2025 12:26;Trà bưởi, size M, 0% đường, 0% đá. Phù hợp se lạnh • Năng lượng.
88;Sữa chua;Sữa chua thạch trái cây;S;0;30;Lạnh;Trân châu đen, Trân châu sợi;Không sữa;33000;228;Thấp;TRUE;TRUE;Chiều;Bình thường;Giải khát;Đông;;4.31;10/11/2025 12:26;Sữa chua thạch trái cây, size S, 0% đường, 30% đá. Phù hợp bình thường • Giải khát.
89;Đá xay;Cookies đá xay;S;100;0;Lạnh;;Không sữa;37000;384;Thấp;TRUE;TRUE;Chiều;Bình thường;Năng lượng;Xuân;;3.73;10/11/2025 12:26;Cookies đá xay, size S, 100% đường, 0% đá. Phù hợp bình thường • Năng lượng.
90;Sữa chua;Sữa chua việt quất;S;50;30;Lạnh;Thạch nha đam, Sương sáo;Không sữa;33000;286;Thấp;TRUE;TRUE;Sáng;Bình thường;Giải khát;Hạ;;3.59;10/11/2025 12:26;Sữa chua việt quất, size S, 50% đường, 30% đá. Phù hợp bình thường • Giải khát.
